country_name,region,male_life_expectancy,female_life_expectancy,birth_rate,death_rate
Austria,Western Europe,78.9,83.6,9.4,10.3
Belgium,Western Europe,78.6,83.1,9.9,11.0
France,Western Europe,79.2,85.3,10.9,9.9
Germany,Western Europe,78.6,83.4,9.3,11.9
Liechtenstein,Western Europe,80.1,83.6,9.1,8.2
Luxembourg,Western Europe,79.4,84.2,10.2,7.3
Netherlands,Western Europe,79.8,83.1,9.7,9.7
Switzerland,Western Europe,81.1,85.2,9.9,8.8
Belarus,Eastern Europe,69.3,79.4,9.3,13.0
Bulgaria,Eastern Europe,69.9,77.5,8.5,18.0
Czechia,Eastern Europe,75.3,81.3,10.3,12.1
Hungary,Eastern Europe,72.3,79.1,9.6,14.5
Moldova,Eastern Europe,67.7,76.3,9.8,11.8
Poland,Eastern Europe,72.6,80.8,9.4,12.6
Romania,Eastern Europe,70.5,78.4,9.2,15.4
Spain,Southern Europe,79.7,85.1,7.1,10.4
Slovakia,Eastern Europe,73.5,80.4,10.4,10.8
Ukraine,Eastern Europe,66.4,76.2,7.8,15.9
Denmark,Northern Europe,79.6,83.6,10.4,9.4
Estonia,Northern Europe,74.2,82.7,9.9,11.9
Finland,ENorthern Europe,79.4,85.0,8.4,10.0
Iceland,Northern Europe,81.7,84.5,12.3,6.3
Ireland,Northern Europe,80.4,84.1,11.2,6.4
Latvia,Northern Europe,70.9,80.1,9.2,15.2
Lithuania,Northern Europe,70.1,80.0,9.0,15.6
Norway,Northern Europe,81.6,84.9,9.8,7.5
Sweden,Northern Europe,80.7,84.2,10.9,9.5
United Kingdom,Northern Europe,79.0,82.9,10.2,10.4
Albania,Southern Europe,77.2,80.3,11.5,8.3
Greece,Southern Europe,78.6,83.7,7.9,12.2
Malta,Southern Europe,80.8,84.6,8.6,7.9
Montenegro,Southern Europe,73.2,78.8,11.4,11.7
Portugal,Southern Europe,78.0,84.1,8.2,12.0
Serbia,Southern Europe,71.4,77.2,8.9,16.9
Slovenia,Southern Europe,77.8,83.4,8.9,11.4
Italy,Southern Europe,80.9,84.9,7.28,10.75
