country_name,area,population,population_per_sq_km
Austria,"83,879 km²","8,917,000",106.3
Belgium,"30,530 km²","11,544,000",378.1
France,"549,087 km²","67,380,000",122.7
Germany,"357,580 km²","83,161,000",232.6
Liechtenstein,"161 km²","38,137",237.6
Luxembourg,"2,590 km²","630,419",243.4
Netherlands,"41,543 km²","17,442,000",419.8
Switzerland,"41,290 km²","8,637,000",209.2
Belarus,"207,600 km²","9,380,000",45.18
Bulgaria,"111,000 km²","6,934,000",62.47
Czechia,"78,870 km²","10,698,000",135.6
Hungary,"93,030 km²","9,750,000",104.8
Moldova,"33,850 km²","2,620,000",77.41
Poland,"312,680 km²","37,899,000",121.2
Romania,"238,400 km²","19,258,000",80.78
Spain,"505,935 km²","47,363,000km²",93.62
Slovakia,"49,030 km²","5,459,000",111.3
Ukraine,"603,550 km²","44,135,000",73.13
Denmark,"42,920 km²","5,831,000",135.9
Estonia,"45,340 km²","1,329,000",29.32
Finland,"338,450 km²","5,530,000",16.34
Iceland,"103,000 km²","366,463",3.55
Ireland,"70,280 km²","4,986,000",70.94
Latvia,"64,490 km²","1,900,000",29.47
Lithuania,"65,286 km²","2,795,000",42.81
Norway,"385,203 km²","5,379,000",13.97
Sweden,"447,430 km²","10,353,000",23.14
United Kingdom,"243,610 km²","67,215,000",275.9
Albania,"28,750 km²","2,838,000",98.71
Greece,"131,960 km²","10,701,000",81.09
Malta,"320 km²","515,332",1610
Montenegro,"13,810 km²","621,306",44.99
Portugal,"92,226 km²","10,297,000",111.7
Serbia,"88,360 km²","6,899,000",78.08
Slovenia,"20,675 km²","2,102,000",101.7
Italy,"301,277 km²","60,304,000", 200.16
